66,I will give way to both vehicles.
66,I will cross first.
66,I will give way only to the truck driver.
67,I will cross first.
67,I will give way to the tram.
68,I will give way to both vehicles.
68,None of the vehicles.
68,I will only give way to the motorcycle rider.
68,I will only give way to the red vehicle.
69,Automobile driver.
69,Bus driver.
70,Only to the left.
70,Only straight.
70,Straight and to the left.
71,Vehicle driver.
71,Pedestrian.
72,Immediately stop on the right side of the road.
72,Continue driving along the route intended.
72,Immediately stop.
73,Yes.
73,No.
74,I will cross first.
74,I will cross last.
74,I will only give way to the red vehicle.
74,I will only give way to the motorcycle.
75,30 km/h.
75,20 km/h.
75,50 km/h.
76,I will only give way to the green vehicle.
76,I will only give way to the motorcycle.
76,I will cross first.
76,I will cross last.
77,90 km/h.
77,50 km/h.
77,70 km/h.
78,Beginning of a one-way road.
78,Beginning of a two-way road
78,Beginning of a road section where the traffic direction may change to the opposite direction.
79,There is a cycleway on the pavement.
79,Cyclists can ride on the right-hand side of the carriageway.
79,Cycleway will cross the carriageway.
80,It is forbidden.
80,It is allowed.
81,The truck and the yellow vehicle.
81,All vehicles.
81,Motorcycle and the yellow vehicle.
82,Yes.
82,No.
83,A place where the rules applying to populated areas should be observed.
83,Beginning of a city border.
83,Rural municipality border.
84,It is forbidden.
84,It is allowed.
85,None of the places.
85,Only on the left-hand side.
85,Only on the right-hand side.
86,Red vehicle.
86,Yellow vehicle.
87,I will cross first.
87,I will give way to the cyclist.
88,Red vehicle driver.
88,You.
89,It is allowed.
89,It is forbidden.
90,I will give way to both vehicles.
90,I will only give way to the emergency vehicle.
90,I will cross first.
90,I will only give way to the emergency vehicle.
91,To stop.
91,To work
91,To park.
92,No.
92,Yes.
93,I will only give way to the red vehicle.
93,I will cross first.
93,I will give way to both vehicles.
93,I will only give way to the yellow truck
94,I will cross first
94,I will give way to the oncoming vehicle.
95,Give way.
95,Immediately stop.
96,It is forbidden.
96,It is allowed.
97,Both drivers
97,Only the red vehicle driver.
98,90 km/h.
98,50 km/h.
98,70 km/h.
99,It is forbidden to pollute the nature.
99,When driving on this surface it is possible to damage tyres.
99,Loose chippings (stones) may be thrown out from under tyres.
100,"Straight, to the right and to the left."
100,Straight and to the right.
100,Only to the right
