nr,text
34,"This image is a driver's perspective (cockpit view) of a vehicle approaching a junction or traveling through a dense urban area.

Road Surface: The road surface is primarily cobblestone pavement.

Signage: A mandatory sign 409 (Ceļš vai gājēju un velosipēdu celiņš – Path for cyclists), a blue circular sign with a white bicycle symbol, is posted on the right side of the road.

Environment: The street is bordered by traditional, multi-story urban buildings.

Traffic: A red car and another vehicle are visible ahead, and a cyclist is riding on the cobblestone road on the left side.

Dashboard: The dashboard is visible, showing the speedometer indicating a speed of approximately 60 km/h."
35,"This image is a driver's perspective (cockpit view) of a vehicle traveling on an urban or residential street.

Signage: A prohibitory sign 325 (Ātruma ierobežojuma zona – Speed limit zone) is posted on the right side of the road, indicating a maximum speed of 30 km/h within the zone.

Road Surface: The road surface is primarily cobblestone pavement.

Environment: The street is bordered by a large, classic-style residential or public building on the left, a fenced area, and a grassy park area on the right.

Dashboard: The speedometer is visible, currently indicating a speed of 0 km/h (stopped).

Mirrors: The side mirrors show views of the adjacent roads/areas."
36,"This image is a driver's perspective (cockpit view) approaching a T-junction in a residential area.

Road Surface: The road surface is composed of gravel or small stones.

Vehicles and Movement: Three vehicles are visible, with their intended paths traced by green arrows:

A green truck (heavy goods vehicle) is approaching from the left side street, with an arrow indicating its path to continue straight across the driver's lane (or turn right onto the road ahead).

A red van is visible ahead, having crossed the junction, indicating a straight path. The driver's path (starting from the center) is also straight ahead.

A yellow car is positioned on the right side street, with an arrow indicating a straight path across the junction.

Environment: The area is residential, with apartment buildings and houses visible. The driver's immediate foreground shows the vehicle's steering wheel and dashboard."
37,"This image is a driver's perspective (cockpit view) of a vehicle traveling on an urban street in a residential area.

Road Surface: The road surface is cobblestone pavement.

Warning Sign: A warning sign 116 (Ceļa darbi – Road works) is posted prominently on the right side of the road, indicated by a red-bordered triangle with a symbol of a worker shoveling.

Environment: The street is bordered by various multi-story apartment buildings. On the left side, there appears to be a cleared area or construction site.

Other Road Users/Pedestrians: A cyclist is visible ahead on the road, and pedestrians are walking in the distance and near the cleared area.

Dashboard: The speedometer is visible, currently indicating a speed of approximately 40 km/h."
38,"This image depicts a view from a moving vehicle on a multi-lane urban street, lined with multi-story buildings of various traditional styles.

Road Markings: The road is asphalt with a dashed white line separating the lanes of traffic traveling in the same direction. There is a wide sidewalk/pavement area on both sides.

Traffic Signs:

A warning sign 122 (Velosipēdu celiņš – Cyclist path) is posted prominently on the right side, indicated by a red-bordered triangle containing two cycles (one riding upright, one falling over).

A mandatory sign 409 (Ceļš vai gājēju un velosipēdu celiņš – Path for cyclists) is visible further ahead on the right sidewalk.

An information sign 504 (Autobusu pietura – Bus stop) is visible on the left side, indicating a bus stop location.

Traffic: A white sports car is driving ahead in the left lane. A green hatchback is driving in the right lane (from the viewing vehicle's perspective).

Other Road Users: A cyclist and a pedestrian are visible on the left side of the street near the bus stop sign.

Advertising: Several advertising pillars/boards are positioned on both sides of the street.

Environment: The urban street is characterized by a row of colorful, old-style buildings on the right."
39,"This image depicts a wide, asphalt T-junction or side-road intersection in an urban environment, viewed from an elevated perspective behind a blue passenger car.

Key visual elements include:

Road Layout: The blue car is positioned on the main road, which is relatively wide and has clear lane markings. The side road on the left features a pedestrian crossing marked by white zebra stripes (road marking 1.14) across the main road.

Traffic Lights: A set of traffic lights is visible on the far side of the pedestrian crossing. A pedestrian/cyclist traffic light (indicated by its smaller size) is visible next to a pole, displaying a green signal (or green starburst) for those crossing.

Other Vehicles/Users:

A cyclist is positioned on the pedestrian crossing, having entered from the side street.

A box truck (heavy goods vehicle) is visible stopped on the side street to the left, near another set of traffic lights.

Blue Car Status: The blue car in the foreground is shown with its right rear turn signal illuminated (indicated by a yellow/orange glow).

Environment: The setting is urban with grass verges, trees (some with pink blossoms), and buildings visible in the background."
40,"This image depicts a red hatchback attempting to merge onto or cross a two-lane main road from a side road or resting area in a rural environment.

Key visual elements include:

Vehicles and Movement: A red hatchback is stationary or moving slowly on the left, with three possible paths of travel (A, B, and C) shown by green arrows, all leading onto the main road.

Path A: A path that involves crossing the near lane and turning right onto the main road, entering the far lane.

Path B: A path that involves entering the near lane and turning left onto the main road, entering the far lane.

Path C: A path that involves turning left onto the main road, entering the near lane.

Other Vehicles: Three white SUVs are positioned on the main road, designated A, B, and C along the red car's possible paths.

Signage: Two white and red town/settlement name signs are visible, both bearing the name ""DAUGAVPILS"". One sign is further ahead, and the other is closer to the red car's position. The red text on a white background with a red strike-through line indicates exiting the territory/area indicated by the sign.

Road Layout: The main road is asphalt with a central dashed white line. The side area where the red car is positioned is bounded by grass and trees.

Environment: The setting is rural, with trees and grass bordering the road."
41,"This image displays a T-junction or the entrance of a side street onto a main road, viewed from an aerial or overhead perspective.

Key visual elements include:

Road Surface: The entire road surface shown is paved with a light-colored material, likely asphalt or concrete with a granular texture.

Junction Layout: A side road joins the main road from the right.

Road Markings:

The main road features a dashed white line (road marking 1.5) separating the traffic lanes.

The side road entrance is delineated by a continuous white line that abruptly transitions into a dashed white line (road marking 1.13, a Give Way/Stop line) where it meets the main road.

Environment: The intersection is surrounded by grass verges and trees, indicating a suburban or rural setting."
42,"This image displays a T-junction or the entrance of a side street onto a main road, viewed from an aerial or overhead perspective.

Key visual elements include:

Road Surface: The entire road surface shown is paved with a light-colored material, likely asphalt or concrete with a granular texture.

Junction Layout: A side road joins the main road from the right.

Road Markings:

The main road features a dashed white line (road marking 1.5) separating the traffic lanes.

The side road entrance is delineated by a continuous white line that abruptly transitions into a dashed white line (road marking 1.13, a Give Way/Stop line) where it meets the main road.

Environment: The intersection is surrounded by grass verges and trees, indicating a suburban or rural setting."
43,"This image depicts two passenger cars (a red sedan and a green hatchback) on a two-lane road approaching a pedestrian crossing.

Key visual elements include:

Crossing: The road features a pedestrian crossing marked by white zebra stripes (road marking 1.14).

Traffic Signs:

Two mandatory signs 533 (Gājēju pāreja – Pedestrian crossing), blue square signs with a walking figure, are posted on the left and right sides of the road near the crossing.

A mandatory direction sign 402 (Taisni – Proceed straight only), a blue circular sign with a white arrow pointing up, is visible on the far right.

Vehicles and Movement:

A red sedan is in the foreground. A long green arrow traces its intended path to proceed straight ahead, crossing the pedestrian crossing.

A green hatchback is positioned on the right side of the red car and has its brake lights illuminated (indicated by red starbursts).

Other Road Users: A man is walking across the crossing from right to left, and a woman is visible on the left side of the road, approaching the crossing.

Road Layout: The road is asphalt with no central dividing line visible in the immediate area of the crossing."
44,"This image is a driver's perspective (cockpit view) of a vehicle traveling on a multi-lane urban road.

Key visual elements include:

Road Layout: The road is asphalt with a central dashed white line, indicating two-way traffic or multiple lanes of traffic. The vehicle is currently traveling straight ahead.

Movement: A thick green arrow is superimposed, indicating the intended path is to proceed straight ahead.

Vehicles and Traffic:

A yellow box truck (heavy goods vehicle) is positioned on the right side of the road, appearing to be stationary or moving slowly, potentially preparing for a turn or stopping.

A small green car with active headlights is visible ahead, approaching from the opposite direction.

Traffic is visible in the rear-view mirror.

Environment: The street is bordered by multi-story residential and commercial buildings of various colors.

Dashboard: The dashboard is visible in the foreground, showing the speedometer indicating a speed of approximately 40 km/h."
45,"This image depicts a two-lane road in a rural setting where an orange public bus is positioned between two large trucks.

Key visual elements include:

Road Layout: The road is a narrow two-way carriageway with no central dividing line, bordered by a gravel shoulder and grass verges.

Vehicles and Movement: Three large vehicles are shown, all traveling in the same general direction (from left to right in the frame, slightly upward). Green arrows trace their respective paths:

An orange bus is positioned in the center, traveling ahead.

A green box truck is positioned on the left side, slightly ahead of the bus, also traveling ahead.

A blue box truck is positioned on the right side, slightly ahead of the bus, also traveling ahead.

Environment: The roadside is characterized by grass, trees, and large rocks/stones in the immediate foreground."
46,"The image displays a No Stopping sign (326 in Latvian CSN) supplemented by two additional information plates (800 series).

Main Sign: The sign indicates that stopping and parking are prohibited (Sign 326).

Plate 1 (Working Days and Time): The top plate specifies that the restriction applies only during working days (indicated by the hammer/crossed tools icon) and only between the hours of 08:00 and 20:00.

Plate 2 (Towing): The bottom plate with the tow truck icon (831) indicates that a vehicle stopped or parked in violation of the sign may be towed away at the owner's expense."
47,"The image is a driver's perspective on a two-way rural road approaching a curve to the left.Warning Sign: A Dangerous Curve to the Left sign (120 in Latvian CSN) is visible, warning the driver of an upcoming sharp bend.Traffic Ahead: A blue passenger car is traveling ahead of the driver in the same direction.Other Traffic: A green tractor is visible off the road on the right, potentially moving near the road or on an agricultural area.Vehicle Status: The vehicle's dashboard indicates the left turn signal is active (green arrow flashing left), meaning the driver is preparing to turn left, potentially into a side road or an entrance not fully visible, or perhaps indicating an intent to overtake on a subsequent straight section if safe, although overtaking on this curve is prohibited."
48,"This is a description of the road situation shown in the image:

The image is a view from above and slightly behind a dark grey passenger car traveling on a one-way street in an urban environment.

Road: The road is wide and marked with a solid white center line and dashed white lines separating the travel lanes, indicating a multi-lane, single-direction street (one-way).

Intersection: The street is approaching an intersection where a street joins from the right.

Traffic: Only the grey car is clearly visible in the foreground. There is a pedestrian visible in the distance on the right sidewalk.

Person on Left: A person wearing a blue uniform and yellow hard hat (likely a construction worker or utility worker) is standing on the sidewalk near the curb on the left side of the street.

Environment: The street is bordered by buildings of various colors typical of a European city center."
